,Arrond_Nom,Date_Plantation,Counts
128,Villeray-Saint-Michel - Parc-Extension,2011,217
129,Villeray-Saint-Michel - Parc-Extension,2012,348
130,Villeray-Saint-Michel - Parc-Extension,2013,392
131,Villeray-Saint-Michel - Parc-Extension,2014,441
132,Villeray-Saint-Michel - Parc-Extension,2015,700
133,Villeray-Saint-Michel - Parc-Extension,2016,861
134,Villeray-Saint-Michel - Parc-Extension,2017,1326
135,Villeray-Saint-Michel - Parc-Extension,2018,733
136,Villeray-Saint-Michel - Parc-Extension,2019,1117
137,Villeray-Saint-Michel - Parc-Extension,2020,2
